RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15687659,Smith,517,France,Male,26,4,40321.38376241348,1,1,1,111986.76527189127,0
2,15712568,Johnson,746,Spain,Male,42,0,0.0,1,0,0,86145.7015603397,1
3,15697633,Williams,529,France,Male,41,8,0.0,2,0,0,101530.75884306477,1
4,15824879,Brown,407,Germany,Female,52,10,110676.53673782005,3,0,1,120356.80095610514,1
5,15685580,Jones,829,France,Male,43,10,187533.53157098294,1,1,0,16853.030643696104,1
6,15675969,Garcia,770,Germany,Male,43,10,105898.64474026833,2,0,0,14391.77999150441,0
7,15773593,Miller,847,Spain,Female,40,9,190314.08223272805,1,1,0,68783.23425603492,0
8,15620587,Davis,428,France,Male,31,0,81133.55494755953,2,0,1,11857.374088397859,1
9,15703038,Rodriguez,809,Spain,Male,45,6,46960.64430571001,1,1,0,99057.1537639748,0
10,15653199,Martinez,410,France,Female,38,10,0.0,2,0,0,51591.15989066465,1
11,15740904,Smith,718,France,Female,29,8,186062.3949318043,1,0,0,10524.786150424265,0
12,15757036,Johnson,470,France,Female,32,2,68095.39293254877,3,1,1,10250.764819695863,1
13,15843868,Williams,556,France,Male,27,1,110652.92770851571,1,0,1,81950.01246465792,0
14,15606791,Brown,383,Germany,Male,49,9,146293.10661641872,1,1,0,66229.05661272349,1
15,15630521,Jones,419,France,Male,58,7,0.0,4,1,0,162890.92850870613,1
16,15828614,Garcia,366,Spain,Female,50,3,0.0,1,1,1,26148.705084591904,1
17,15759728,Miller,845,France,Male,42,0,0.0,1,1,1,5485.110986760247,1
18,15818410,Davis,846,Spain,Male,38,7,0.0,1,1,1,12064.880051639439,0
19,15764742,Rodriguez,369,France,Male,36,5,24456.737560926143,1,0,1,66422.02243741222,1
20,15833156,Martinez,806,Spain,Female,29,5,11771.04159810588,1,1,0,121283.11594134383,0
21,15669056,Smith,664,Spain,Male,58,3,213713.6840528626,1,1,1,100037.51821703289,0
